date,close,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2016-06-09,1347.64,-1.31,-0.1,,,,,,
2016-06-08,1348.95,-0.22,-0.02,,,,,,
2016-06-07,1349.17,2.33,0.17,,,,,,
2016-06-03,1346.84,10.47,0.78,,,,,,
2016-06-02,1336.37,-9.23,-0.69,,,,,,
2016-06-01,1345.6,-28.09,-2.04,,,,,,
2016-05-31,1373.69,5.14,0.38,,,,,,
2016-05-30,1368.55,16.75,1.24,,,,,,
2016-05-27,1351.8,5.62,0.42,,,,,,
2016-05-26,1346.18,-8.89,-0.66,,,,,,
2016-05-25,1355.07,14.49,1.08,,,,,,
2016-05-24,1340.58,5.21,0.39,,,,,,
2016-05-23,1335.37,6.52,0.49,,,,,,
2016-05-20,1328.85,-6.15,-0.46,,,,,,
2016-05-19,1335,-17.13,-1.27,,,,,,
2016-05-18,1352.13,1.87,0.14,,,,,,
2016-05-17,1350.26,-3.23,-0.24,,,,,,
2016-05-16,1353.49,10.9,0.81,,,,,,
2016-05-13,1342.59,-3.18,-0.24,,,,,,
2016-05-12,1345.77,-6.91,-0.51,,,,,,
2016-05-11,1352.68,2.6,0.19,,,,,,
2016-05-10,1350.08,9.1,0.68,,,,,,
2016-05-09,1340.98,10.62,0.8,,,,,,
2016-05-04,1330.36,1,0.08,,,,,,
2016-05-03,1329.36,19.37,1.48,,,,,,
2016-05-02,1309.99,-2.57,-0.2,,,,,,
2016-04-29,1312.56,8.51,0.65,,,,,,
2016-04-28,1304.05,0.76,0.06,,,,,,
2016-04-27,1303.29,3.5,0.27,,,,,,
2016-04-26,1299.79,-10.21,-0.78,,,,,,
2016-04-25,1310,7.54,0.58,,,,,,
2016-04-22,1302.46,-6.37,-0.49,,,,,,
2016-04-21,1308.83,4.23,0.32,,,,,,
2016-04-20,1304.6,-6.3,-0.48,,,,,,
2016-04-19,1310.9,5.16,0.4,,,,,,
2016-04-18,1305.74,-7.11,-0.54,,,,,,
2016-04-15,1312.85,-1.52,-0.12,,,,,,
2016-04-14,1314.37,9.76,0.75,,,,,,
2016-04-12,1304.61,5.68,0.44,,,,,,
2016-04-11,1298.93,-5.07,-0.39,,,,,,
2016-04-08,1304,-4.52,-0.35,,,,,,
2016-04-07,1308.52,17.41,1.35,,,,,,
2016-04-06,1291.11,-2.86,-0.22,,,,,,
2016-04-05,1293.97,-2.39,-0.18,,,,,,
2016-04-04,1296.36,4.37,0.34,,,,,,
2016-04-01,1291.99,1.5,0.12,,,,,,
2016-03-31,1290.49,-2.11,-0.16,,,,,,
2016-03-30,1292.6,1.29,0.1,,,,,,
2016-03-29,1291.31,13.84,1.08,,,,,,
2016-03-28,1277.47,-0.15,-0.01,,,,,,
2016-03-25,1277.62,-11.17,-0.87,,,,,,
2016-03-24,1288.79,-9.38,-0.72,,,,,,
2016-03-23,1298.17,-7.1,-0.54,,,,,,
2016-03-22,1305.27,1.12,0.09,,,,,,
2016-03-21,1304.15,-6.75,-0.51,,,,,,
2016-03-18,1310.9,-3.96,-0.3,,,,,,
2016-03-17,1314.86,1.8,0.14,,,,,,
2016-03-16,1313.06,-0.26,-0.02,,,,,,
2016-03-15,1313.32,-1.45,-0.11,,,,,,
2016-03-14,1314.77,-6.85,-0.52,,,,,,
2016-03-11,1321.62,6.18,0.47,,,,,,
2016-03-10,1315.44,30.18,2.35,,,,,,
2016-03-09,1285.26,13.87,1.09,,,,,,
2016-03-08,1271.39,1.72,0.14,,,,,,
2016-03-07,1269.67,-19.29,-1.5,,,,,,
2016-03-04,1288.96,0.22,0.02,,,,,,
2016-03-03,1288.74,3.9,0.3,,,,,,
2016-03-02,1284.84,6.17,0.48,,,,,,
2016-02-29,1278.67,12.71,1,,,,,,
2016-02-26,1265.96,6.06,0.48,,,,,,
2016-02-25,1259.9,-2.67,-0.21,,,,,,
2016-02-24,1262.57,-6.27,-0.49,,,,,,
2016-02-23,1268.84,4.95,0.39,,,,,,
2016-02-22,1263.89,1.61,0.13,,,,,,
2016-02-19,1262.28,7.2,0.57,,,,,,
2016-02-18,1255.08,15.19,1.23,,,,,,
2016-02-17,1239.89,-14.12,-1.13,,,,,,
2016-02-16,1254.01,21.5,1.74,,,,,,
2016-02-15,1232.51,9.7,0.79,,,,,,
2016-02-12,1222.81,-13.03,-1.05,,,,,,
2016-02-11,1235.84,-50.12,-3.9,,,,,,
2016-02-05,1285.96,-5.85,-0.45,,,,,,
2016-02-04,1291.81,10.29,0.8,,,,,,
2016-02-03,1281.52,-16.19,-1.25,,,,,,
2016-02-02,1297.71,-7.86,-0.6,,,,,,
2016-02-01,1305.57,-0.37,-0.03,,,,,,
2016-01-29,1305.94,8.72,0.67,,,,,,
2016-01-28,1297.22,-17.46,-1.33,,,,,,
2016-01-27,1314.68,-2.32,-0.18,,,,,,
2016-01-26,1317,12.92,0.99,,,,,,
2016-01-25,1304.08,8.45,0.65,,,,,,
2016-01-22,1295.63,33.32,2.64,,,,,,
2016-01-21,1262.31,-19.15,-1.49,,,,,,
2016-01-20,1281.46,-25.25,-1.93,,,,,,
2016-01-19,1306.71,-9.6,-0.73,,,,,,
2016-01-18,1316.31,8.56,0.65,,,,,,
2016-01-15,1307.75,3.33,0.26,,,,,,
2016-01-14,1304.42,-6.5,-0.5,,,,,,
2016-01-13,1310.92,14.48,1.12,,,,,,
2016-01-12,1296.44,14.21,1.11,,,,,,
2016-01-11,1282.23,-23.59,-1.81,,,,,,
2016-01-08,1305.82,-0.67,-0.05,,,,,,
2016-01-07,1306.49,8.27,0.64,,,,,,
2016-01-06,1298.22,-10.85,-0.83,,,,,,
